ADDRESS,AMOUNT,TAG
0x630eb5544172af8716956ff6b8f382b17b8d67f11bf1d8e9e7c8e10e31a2ac,0.4122326949,
0x3e7a67de574f596f5d6dcb5e50edca8652ceaa46cac080bbbd28c0f9531b1ca,0.410871575,
0x553cea5d1dc0e0157ffcd36a51a0ced717efdadd5ef1b4644352bb45bd35453,0.4071335263,Nostra: ETH Collateral Token
0x7e4a24ef5ec589fe8c132f45c752d64b5073846503064a1423d9cfffeec2406,0.3837998637,
0x538365162a3017d5e03caa3ee87305694694c03e232625ba635b1de2f45bb05,0.382875612,
0x18a6abca394bd5f822cfa5f88783c01b13e593d1603e7b41b00d31d2ea4827a,0.3783579887,
0x7b393627bd514d2aa4c83e9f0c468939df15ea3c29980cd8e7be3ec847795f0,0.3570415512,Orbiter Finance: Bridge 1
0x63a4b3b0122cdaa6ba244739add94aed1d31e3330458cda833a8d119f28cbe8,0.3518696542,Rules: Marketplace
0xa20410b97dcbfb44f370b67f877c669d859ff85c536d5e8e8336b6d565e1f8,0.3482491402,
0x3d77b5ff24412ce3b12a3d854a8d85c061d2109420742f9cd048f70f9137a7d,0.3415933125,
0x2e6c908da3d1ced80d81085ed9374b7c5048f86799e1f35e54daca4d70832d7,0.3358104012,Flex Marketplace: NFT Storefront
0x5e73a7eb2a7337f17d7505558ca6f503c968fc7dc26a737b517a6d695c08c8f,0.3270302705,
0x4d346cbca6a20b212dc321fe3fc05e48a65287daaa29d076d9fc356cd7d97ed,0.324701691,
0x5c0c1f9d4588f8ee5fca667f3aa2b86f9e55ce22215401e937f0678afaaea3e,0.3227532927,
0x63d69ae657bd2f40337c39bf35a870ac27ddf91e6623c2f52529db4c1619a51,0.3184101209,
0x725469f4e651f437c13e1c1d408771ca48bf98b8781e9b43dff3379e654470f,0.3162229959,
0x42cfb91d8fd1bcc297ec1c06932cbc1d065fcfdf1b4a4837dfe4ed5d59f2976,0.3142349525,
0x7aba50fdb4e024c1ba63e2c60565d0fd32566ff4b18aa5818fc80c30e749024,0.3138689146,
